date,revenue
2021-01-31,14745
2021-02-28,17146
2021-03-31,19823
2021-04-30,20489
2021-05-31,15351
2021-06-30,11776
2021-07-31,10922
2021-08-31,7202
2021-09-30,4700
2021-10-31,7715
2021-11-30,9560
2021-12-31,13982
2022-01-31,19469
2022-02-28,19590
2022-03-31,21370
2022-04-30,22468
2022-05-31,19289
2022-06-30,17705
2022-07-31,12298
2022-08-31,9038
2022-09-30,12709
2022-10-31,11669
2022-11-30,15463
2022-12-31,17650
2023-01-31,23396
2023-02-28,27733
2023-03-31,27337
2023-04-30,28981
2023-05-31,25014
2023-06-30,21903
2023-07-31,17863
2023-08-31,19042
2023-09-30,15597
2023-10-31,15528
2023-11-30,21702
2023-12-31,23062
2024-01-31,29632
2024-02-29,29733
2024-03-31,32178
2024-04-30,33819
2024-05-31,32129
2024-06-30,27704
2024-07-31,23699
2024-08-31,20918
2024-09-30,18506
2024-10-31,21141
2024-11-30,24884
2024-12-31,31586
