ds,yhat,yhat_lower,yhat_upper
2023-01-31,1000.0001973301688,1000.0001973289995,1000.0001973315192
2023-02-28,1499.9997552456807,1499.9997552444352,1499.9997552470388
2023-03-31,1299.9998624936077,1299.999862492375,1299.999862494814
2023-04-30,1799.999718830244,1799.9997188289312,1799.9997188316383
2023-05-31,2000.0002554466314,2000.0002554453063,2000.0002554479947
2023-06-30,2200.0004900578233,2200.000490056546,2200.0004900591284
2023-07-31,2099.9998613225516,2099.9998613211847,2099.9998613237067
2023-08-31,2499.9997754423384,2499.999775441138,2499.9997754437554
2023-09-30,2400.000144746511,2400.0001447452355,2400.0001447478217
2023-10-31,2599.9994743138095,2599.999474312497,2599.9994743152915
2023-11-30,3000.0000973960314,3000.00009739475,3000.0000973973974
2023-12-31,3200.000362801594,3200.0003628002823,3200.0003628028344
2024-01-31,4518.70671399582,4452.120656526486,4594.407179073203
2024-02-29,6887.482174723112,6677.738282715125,7123.760868504731
2024-03-31,5279.182215259752,4872.5479822308935,5722.856558755493
